Age,Gender,BusinessTravel,Job Function,Distance Between Company and Home (KM),"Education (1 is lowest, 5 is highest)","Job Satisfaction (1 is lowest, 4 is highest)",MaritalStatus,Salary ($),"Performance Rating (1 is lowest, 4 is highest)","Work Life Balance (1 is worst, 4 is best)",Length of Service (Years),Resign Status
30,Female,Travel_Rarely,Sales,4,2,2,Divorced,5209,3,2,11,No
46,Male,Travel_Frequently,Research & Development,1,3,1,Married,10673,3,2,10,No
32,Male,Travel_Rarely,Sales,6,4,3,Single,5010,3,3,11,No
54,Female,Travel_Rarely,Research & Development,2,4,3,Married,13549,3,1,4,No
24,Female,Travel_Rarely,Sales,3,2,3,Married,4999,4,2,3,No
28,Male,Non-Travel,Sales,4,3,3,Married,4221,3,4,5,No
58,Male,Travel_Rarely,Sales,10,4,3,Single,13872,3,2,37,No
44,Male,Non-Travel,Research & Development,23,3,2,Married,2042,3,4,3,No
37,Male,Travel_Rarely,Human Resources,6,4,1,Divorced,2073,4,3,3,Yes
32,Male,Travel_Rarely,Research & Development,1,1,1,Single,2956,3,3,1,No
20,Female,Travel_Frequently,Research & Development,6,3,4,Single,2926,3,3,1,Yes
34,Female,Travel_Rarely,Research & Development,6,4,3,Single,4809,3,3,16,No
37,Male,Non-Travel,Research & Development,2,2,4,Divorced,5163,3,4,1,No
59,Female,Non-Travel,Human Resources,2,4,4,Married,18844,4,3,3,No
50,Female,Travel_Frequently,Research & Development,1,3,2,Married,18172,3,2,8,No
25,Male,Travel_Rarely,Sales,5,3,3,Single,5744,3,3,6,Yes
25,Male,Travel_Rarely,Research & Development,7,1,4,Married,2889,3,3,2,No
22,Female,Travel_Rarely,Research & Development,15,3,4,Single,2871,3,3,0,No
51,Female,Travel_Frequently,Research & Development,1,4,1,Single,7484,4,2,13,No
34,Male,Travel_Frequently,Research & Development,7,3,3,Single,6074,4,3,9,Yes
54,Female,Non-Travel,Human Resources,26,3,4,Single,17328,3,3,5,No
24,Male,Travel_Rarely,Research & Development,18,1,3,Married,2774,3,3,5,No
34,Female,Travel_Rarely,Research & Development,6,4,2,Divorced,4505,3,3,1,No
37,Male,Travel_Rarely,Sales,3,3,4,Single,7428,3,3,5,No
34,Female,Travel_Rarely,Research & Development,5,3,1,Single,11631,3,3,11,No
36,Female,Travel_Frequently,Sales,11,2,4,Married,9738,3,3,9,No
36,Female,Travel_Rarely,Research & Development,3,2,4,Divorced,2835,4,3,1,No
43,Male,Travel_Frequently,Sales,26,2,4,Married,16959,3,4,25,No
30,Male,Travel_Frequently,Research & Development,23,3,3,Divorced,2613,4,2,10,No
33,Male,Non-Travel,Sales,22,2,2,Married,6146,3,4,7,No
56,Female,Travel_Rarely,Research & Development,14,4,2,Married,4963,3,3,5,Yes
51,Male,Travel_Rarely,Research & Development,6,3,3,Single,19537,3,3,20,No
31,Male,Travel_Rarely,Sales,6,4,3,Married,6172,3,2,7,Yes
26,Female,Travel_Rarely,Research & Development,6,3,2,Married,2368,3,2,5,No
58,Female,Travel_Rarely,Research & Development,23,4,4,Married,10312,3,2,40,Yes
19,Male,Travel_Rarely,Sales,22,1,3,Single,1675,3,2,0,Yes
22,Male,Travel_Rarely,Research & Development,2,1,4,Married,2523,3,3,2,No
49,Female,Travel_Rarely,Research & Development,20,4,1,Married,6567,3,2,15,No
43,Female,Travel_Frequently,Research & Development,28,3,3,Single,4739,3,3,3,No
50,Female,Travel_Frequently,Sales,12,3,4,Single,9208,3,3,2,No
31,Female,Travel_Rarely,Sales,20,3,3,Married,4559,3,3,2,Yes
41,Male,Travel_Rarely,Sales,9,1,3,Divorced,8189,3,3,9,No
26,Female,Travel_Rarely,Human Resources,25,1,3,Married,2942,4,3,8,No
36,Male,Travel_Rarely,Research & Development,6,2,2,Divorced,4941,4,3,3,No
51,Male,Travel_Frequently,Research & Development,8,4,4,Single,10650,3,3,4,Yes
39,Female,Travel_Rarely,Sales,4,4,3,Married,5902,3,4,15,No
25,Male,Travel_Rarely,Sales,28,3,3,Married,8639,3,3,2,No
30,Male,Travel_Rarely,Human Resources,9,3,4,Married,6347,3,1,11,No
32,Female,Travel_Rarely,Research & Development,9,3,1,Single,4200,4,4,5,Yes
45,Male,Travel_Rarely,Research & Development,29,3,4,Single,3452,3,2,6,No
38,Female,Travel_Rarely,Research & Development,3,5,3,Single,4317,4,3,3,No
30,Female,Travel_Rarely,Research & Development,18,3,3,Single,2632,3,2,5,No
32,Male,Travel_Frequently,Sales,9,2,4,Divorced,4668,3,4,8,No
30,Female,Travel_Rarely,Research & Development,5,3,1,Divorced,3204,3,3,3,No
30,Male,Travel_Rarely,Research & Development,2,1,4,Single,2720,3,3,5,No
41,Male,Travel_Frequently,Research & Development,10,3,1,Divorced,17181,3,2,7,No
41,Male,Travel_Rarely,Research & Development,9,4,1,Married,2238,4,3,5,No
19,Female,Travel_Rarely,Research & Development,3,1,2,Single,1483,3,3,1,No
40,Female,Travel_Frequently,Research & Development,26,3,2,Divorced,5605,3,3,20,No
35,Male,Travel_Rarely,Sales,1,5,2,Married,7295,3,3,10,No
53,Male,Travel_Rarely,Sales,6,2,3,Married,2306,4,1,7,No
45,Male,Travel_Rarely,Research & Development,9,3,2,Divorced,2348,3,1,17,No
32,Female,Travel_Frequently,Sales,8,3,4,Single,8998,3,3,9,No
29,Male,Non-Travel,Research & Development,1,1,3,Married,4319,3,3,10,No
51,Male,Travel_Rarely,Research & Development,7,4,3,Married,6132,3,3,1,No
58,Female,Travel_Rarely,Research & Development,9,3,2,Married,3346,4,2,1,No
40,Male,Travel_Rarely,Sales,4,4,4,Married,10855,3,2,12,No
34,Female,Travel_Frequently,Sales,2,4,3,Married,2231,3,3,4,No
22,Male,Travel_Rarely,Research & Development,19,1,4,Married,2323,4,3,2,No
27,Male,Non-Travel,Research & Development,9,3,2,Divorced,2024,3,1,2,No
28,Male,Travel_Rarely,Research & Development,21,3,4,Married,2713,3,1,5,No
57,Male,Travel_Rarely,Research & Development,24,2,4,Divorced,9439,3,1,5,No
27,Male,Non-Travel,Research & Development,3,3,3,Divorced,2566,3,2,1,No
50,Female,Travel_Rarely,Research & Development,11,3,2,Single,19926,3,3,5,No
41,Male,Travel_Rarely,Research & Development,14,3,3,Divorced,2451,3,3,9,No
30,Female,Travel_Rarely,Sales,5,3,4,Married,9419,3,3,10,No
38,Female,Travel_Rarely,Sales,1,4,4,Single,8686,4,4,8,No
32,Male,Travel_Rarely,Research & Development,6,5,3,Single,3038,4,3,5,No
27,Male,Travel_Rarely,Research & Development,17,3,2,Married,3058,3,2,5,No
19,Female,Travel_Frequently,Sales,1,1,1,Single,2325,4,4,0,Yes
36,Male,Travel_Frequently,Research & Development,3,2,2,Single,2088,3,2,8,No
30,Male,Non-Travel,Research & Development,9,3,1,Divorced,3072,3,3,12,No
45,Female,Travel_Rarely,Sales,4,2,1,Divorced,5006,3,4,5,No
56,Female,Travel_Rarely,Research & Development,8,3,1,Divorced,4257,3,3,2,No
33,Male,Travel_Rarely,Research & Development,2,3,4,Single,2500,3,4,3,No
19,Male,Travel_Rarely,Research & Development,2,3,4,Single,1102,4,2,1,Yes
46,Female,Travel_Rarely,Sales,1,2,1,Divorced,10453,4,3,24,No
38,Female,Travel_Rarely,Research & Development,9,2,4,Single,2288,3,3,2,No
31,Female,Travel_Rarely,Research & Development,12,1,4,Married,3929,4,3,4,No
34,Female,Travel_Rarely,Research & Development,27,2,2,Single,2311,3,3,3,No
41,Female,Travel_Rarely,Sales,20,2,2,Single,3140,4,2,4,Yes
50,Male,Travel_Rarely,Research & Development,1,3,3,Married,3690,3,2,3,No
53,Female,Travel_Rarely,Research & Development,13,2,1,Divorced,4450,3,3,4,No
33,Female,Travel_Rarely,Research & Development,14,3,2,Married,2756,3,3,8,No
40,Female,Travel_Rarely,Research & Development,4,1,3,Married,19033,3,3,20,No
55,Male,Travel_Rarely,Research & Development,14,4,2,Single,18722,3,3,24,No
34,Male,Travel_Frequently,Research & Development,2,1,3,Married,9547,3,2,10,No
51,Female,Travel_Rarely,Research & Development,3,3,2,Single,13734,3,3,7,No
52,Male,Travel_Rarely,Research & Development,1,4,3,Married,19999,3,3,33,No
27,Female,Travel_Rarely,Research & Development,9,3,2,Single,2279,3,2,7,No
35,Male,Travel_Rarely,Research & Development,23,2,3,Married,5916,3,3,1,Yes
43,Male,Non-Travel,Research & Development,7,3,4,Divorced,2089,3,4,5,No
45,Male,Non-Travel,Research & Development,2,2,4,Married,16792,4,3,20,No
37,Male,Travel_Rarely,Research & Development,21,3,1,Married,3564,3,2,8,No
35,Female,Travel_Frequently,Research & Development,2,3,2,Single,4425,3,3,6,No
42,Female,Non-Travel,Research & Development,21,2,3,Divorced,5265,3,3,5,No
38,Male,Travel_Rarely,Research & Development,2,4,3,Married,6553,3,3,1,No
38,Male,Travel_Rarely,Research & Development,29,3,4,Married,6261,3,1,7,No
27,Male,Travel_Frequently,Research & Development,1,1,1,Married,4298,3,3,2,No
49,Male,Non-Travel,Research & Development,18,4,4,Divorced,6804,3,3,7,No
34,Male,Travel_Frequently,Research & Development,10,4,3,Divorced,3815,3,4,5,No
40,Male,Travel_Rarely,Research & Development,19,2,4,Married,2741,3,4,7,No
38,Male,Travel_Rarely,Research & Development,29,1,1,Married,6673,3,3,1,Yes
29,Female,Travel_Rarely,Sales,27,3,4,Married,7639,4,2,10,Yes
22,Male,Travel_Rarely,Research & Development,5,3,2,Divorced,2328,3,2,4,No
36,Female,Travel_Frequently,Research & Development,18,1,4,Single,2153,3,3,8,No
40,Male,Non-Travel,Research & Development,9,5,4,Married,4876,3,1,3,No
46,Male,Travel_Rarely,Research & Development,1,4,1,Divorced,9396,3,3,4,No
32,Male,Travel_Rarely,Sales,4,4,4,Married,10400,3,2,14,Yes
30,Male,Non-Travel,Research & Development,1,1,3,Single,8474,4,3,11,No
27,Female,Travel_Frequently,Sales,20,3,3,Single,9981,3,3,7,No
51,Male,Travel_Rarely,Research & Development,8,4,2,Married,12490,3,1,10,No
30,Female,Travel_Rarely,Research & Development,3,3,1,Single,2657,3,3,5,Yes
41,Female,Travel_Rarely,Sales,6,3,4,Single,13591,3,3,1,No
30,Female,Travel_Frequently,Sales,26,4,1,Single,6696,3,2,6,Yes
29,Male,Travel_Rarely,Research & Development,1,3,3,Single,2058,3,2,6,Yes
45,Female,Non-Travel,Sales,6,3,4,Single,8865,3,3,19,No
54,Female,Travel_Rarely,Sales,3,3,1,Married,5940,3,3,6,No
36,Male,Travel_Rarely,Research & Development,5,2,2,Single,5914,3,4,13,No
33,Female,Travel_Rarely,Research & Development,4,4,2,Married,2622,4,3,3,No
37,Male,Travel_Frequently,Research & Development,11,3,4,Divorced,12185,3,3,10,No
38,Male,Travel_Rarely,Sales,3,3,3,Divorced,10609,3,2,16,No
31,Male,Non-Travel,Research & Development,1,4,3,Married,4345,3,3,5,No
59,Male,Travel_Rarely,Research & Development,3,3,4,Married,2177,3,3,1,No
37,Male,Travel_Frequently,Sales,4,4,4,Divorced,2793,3,3,9,No
29,Female,Travel_Frequently,Sales,1,1,4,Married,7918,3,3,11,No
35,Female,Travel_Frequently,Sales,1,3,3,Single,8789,3,4,10,No
29,Male,Travel_Rarely,Research & Development,18,1,4,Single,2389,3,2,4,Yes
52,Female,Travel_Rarely,Research & Development,2,3,4,Single,3212,3,2,2,No
42,Male,Travel_Rarely,Research & Development,4,2,4,Married,19232,3,3,22,No
59,Male,Travel_Rarely,Human Resources,6,2,3,Married,2267,3,2,2,No
50,Female,Travel_Rarely,Sales,1,4,4,Divorced,19517,3,2,7,No
33,Male,Travel_Rarely,Research & Development,14,3,4,Married,2436,3,1,5,Yes
43,Female,Travel_Rarely,Sales,16,3,4,Married,16064,4,3,17,No
33,Female,Travel_Rarely,Research & Development,2,2,1,Married,2707,4,4,9,Yes
52,Male,Non-Travel,Sales,2,4,3,Single,19068,3,4,33,No
32,Female,Travel_Rarely,Sales,4,2,2,Married,3931,3,3,4,No
32,Male,Travel_Rarely,Research & Development,1,3,3,Single,3730,3,1,3,Yes
39,Female,Travel_Rarely,Research & Development,1,4,3,Divorced,2232,3,3,3,No
32,Male,Non-Travel,Sales,26,4,4,Married,4465,3,3,3,No
41,Male,Travel_Rarely,Research & Development,19,2,1,Divorced,3072,3,2,1,No
40,Male,Travel_Rarely,Research & Development,24,2,4,Divorced,3319,3,3,9,No
45,Male,Travel_Rarely,Research & Development,1,3,4,Married,19202,3,3,24,No
31,Male,Travel_Frequently,Research & Development,3,4,3,Divorced,13675,3,3,2,No
33,Female,Travel_Rarely,Research & Development,5,4,4,Married,2911,3,2,2,No
34,Male,Travel_Rarely,Research & Development,2,4,1,Married,5957,3,3,11,No
37,Female,Travel_Rarely,Research & Development,1,2,1,Married,3920,3,2,3,No
45,Male,Travel_Frequently,Research & Development,7,4,3,Married,6434,3,3,3,No
37,Male,Travel_Frequently,Research & Development,10,3,3,Divorced,10048,3,3,1,Yes
39,Female,Travel_Frequently,Research & Development,2,4,3,Single,10938,4,3,19,No
29,Male,Travel_Rarely,Research & Development,15,3,4,Single,2340,3,3,6,No
42,Female,Travel_Rarely,Research & Development,17,2,1,Single,6545,3,3,3,No
29,Male,Travel_Rarely,Sales,20,2,4,Divorced,6931,3,3,3,No
25,Female,Travel_Rarely,Research & Development,1,3,3,Married,4898,3,3,4,No
42,Female,Travel_Rarely,Research & Development,2,3,1,Divorced,2593,3,3,9,No
40,Male,Travel_Rarely,Research & Development,2,2,3,Divorced,19436,3,3,21,No
51,Male,Travel_Rarely,Research & Development,1,3,4,Married,2723,3,2,1,No
31,Male,Travel_Frequently,Research & Development,29,2,2,Single,3479,3,4,5,Yes
32,Male,Travel_Frequently,Research & Development,7,3,2,Married,2794,4,1,5,No
38,Male,Non-Travel,Sales,2,2,4,Married,5249,3,3,8,No
32,Male,Travel_Rarely,Research & Development,2,1,1,Single,2176,3,3,6,No
46,Female,Travel_Rarely,Sales,2,3,2,Married,16872,3,2,7,No
28,Male,Travel_Rarely,Research & Development,2,4,3,Single,3485,3,1,0,Yes
29,Male,Travel_Rarely,Sales,2,3,2,Married,6644,3,3,0,No
31,Male,Travel_Rarely,Research & Development,23,3,4,Married,5582,4,3,9,No
25,Male,Non-Travel,Research & Development,5,2,1,Divorced,4000,3,3,6,No
45,Male,Travel_Rarely,Research & Development,20,2,4,Married,13496,3,3,20,No
36,Male,Travel_Rarely,Research & Development,6,3,4,Married,3210,3,3,15,No
55,Male,Travel_Rarely,Research & Development,1,3,1,Single,19045,3,3,36,No
47,Male,Non-Travel,Research & Development,29,4,2,Married,11849,3,2,10,Yes
28,Male,Travel_Rarely,Research & Development,9,3,4,Married,2070,4,2,5,No
37,Male,Travel_Rarely,Sales,6,4,4,Married,6502,3,4,5,No
21,Male,Travel_Rarely,Research & Development,3,2,3,Single,3230,3,4,3,No
37,Female,Non-Travel,Research & Development,1,4,4,Divorced,13603,3,3,5,No
35,Female,Travel_Rarely,Research & Development,22,3,2,Divorced,11996,3,2,7,No
38,Female,Travel_Rarely,Sales,7,2,1,Divorced,5605,4,3,8,No
26,Female,Travel_Frequently,Research & Development,1,3,2,Divorced,6397,4,1,6,No
50,Male,Travel_Rarely,Research & Development,4,1,2,Divorced,19144,3,2,10,No
53,Male,Travel_Rarely,Research & Development,3,4,3,Married,17584,3,2,5,No
42,Male,Travel_Rarely,Sales,1,1,3,Married,4907,4,3,20,No
29,Male,Travel_Frequently,Sales,2,2,4,Single,4554,3,2,10,No
55,Male,Travel_Rarely,Research & Development,20,2,4,Married,5415,3,3,10,No
26,Male,Travel_Frequently,Research & Development,11,2,1,Married,4741,3,3,5,No
37,Female,Travel_Rarely,Research & Development,1,3,4,Single,2115,3,3,17,No
44,Male,Travel_Frequently,Research & Development,24,3,3,Divorced,3161,4,1,1,Yes
38,Male,Travel_Rarely,Research & Development,23,4,4,Divorced,5745,3,3,2,No
26,Male,Travel_Rarely,Research & Development,16,4,2,Divorced,2373,3,3,3,Yes
28,Female,Travel_Rarely,Research & Development,8,2,4,Single,3310,4,3,5,No
49,Female,Travel_Frequently,Research & Development,10,4,1,Single,18665,3,3,3,No
36,Male,Travel_Rarely,Research & Development,3,3,2,Single,4485,3,3,8,No
31,Female,Travel_Frequently,Sales,5,3,2,Divorced,2789,3,2,2,No
26,Male,Travel_Rarely,Sales,4,4,4,Single,5828,3,3,8,Yes
37,Male,Travel_Frequently,Research & Development,9,3,4,Married,2326,3,2,4,No
42,Female,Travel_Frequently,Sales,26,3,2,Married,13525,3,4,20,No
18,Male,Travel_Rarely,Research & Development,3,3,3,Single,1420,3,3,0,Yes
35,Male,Travel_Rarely,Sales,16,3,2,Married,8020,3,2,11,No
36,Male,Travel_Frequently,Research & Development,18,4,4,Married,3688,3,3,1,No
51,Male,Travel_Rarely,Research & Development,2,3,2,Divorced,5482,3,3,4,No
41,Male,Travel_Rarely,Sales,2,4,2,Single,16015,3,3,22,No
18,Female,Travel_Rarely,Sales,10,3,3,Single,1200,3,3,0,No
28,Male,Travel_Rarely,Research & Development,16,2,1,Single,5661,3,3,8,No
31,Male,Travel_Rarely,Sales,7,3,4,Married,6929,3,2,8,No
39,Male,Travel_Rarely,Research & Development,1,3,4,Divorced,9613,3,2,18,No
36,Female,Non-Travel,Research & Development,24,4,2,Married,5674,3,3,9,No
32,Male,Travel_Rarely,Sales,7,3,3,Married,5484,3,2,13,No
38,Female,Travel_Rarely,Research & Development,25,2,2,Married,12061,3,3,10,No
58,Male,Non-Travel,Research & Development,1,4,3,Divorced,5660,3,3,5,No
31,Male,Travel_Rarely,Research & Development,5,4,4,Married,4821,3,3,5,No
31,Male,Travel_Rarely,Human Resources,2,3,1,Married,6410,3,3,2,No
45,Male,Travel_Frequently,Research & Development,7,3,1,Divorced,5210,3,3,24,No
31,Male,Travel_Rarely,Research & Development,2,4,4,Divorced,2695,3,1,2,No
33,Female,Travel_Frequently,Research & Development,5,4,2,Married,11878,3,3,10,No
39,Male,Travel_Rarely,Research & Development,10,1,1,Married,17068,3,3,21,No
43,Female,Travel_Frequently,Research & Development,10,4,4,Single,2455,3,3,8,No
49,Female,Travel_Rarely,Research & Development,1,2,3,Single,13964,3,3,7,No
52,Male,Travel_Rarely,Research & Development,8,4,2,Married,4941,3,2,8,Yes
27,Female,Travel_Rarely,Research & Development,5,3,2,Single,2478,3,2,4,No
32,Female,Travel_Rarely,Sales,8,2,2,Married,5228,3,3,13,No
27,Male,Travel_Rarely,Sales,2,3,3,Single,4478,3,3,5,No
31,Male,Travel_Rarely,Sales,7,3,4,Divorced,7547,3,3,7,No
32,Female,Travel_Rarely,Research & Development,2,4,4,Single,5055,3,2,7,No
28,Male,Travel_Rarely,Research & Development,2,4,4,Married,3464,3,2,3,Yes
30,Female,Travel_Rarely,Research & Development,28,2,4,Married,5775,3,3,10,No
31,Female,Travel_Frequently,Research & Development,7,2,3,Married,8943,4,3,10,No
39,Male,Travel_Frequently,Research & Development,7,2,4,Married,19272,3,3,21,No
39,Female,Travel_Rarely,Sales,3,2,3,Married,5238,3,2,1,Yes
33,Male,Travel_Frequently,Sales,10,3,4,Single,4682,3,2,7,No
47,Male,Travel_Rarely,Research & Development,5,5,3,Married,18300,3,3,3,No
43,Female,Travel_Frequently,Research & Development,10,4,3,Divorced,5257,3,4,9,No
27,Male,Non-Travel,Sales,1,1,2,Married,6349,3,3,5,No
54,Female,Travel_Frequently,Research & Development,20,4,3,Single,4869,3,2,4,No
43,Female,Travel_Rarely,Research & Development,7,3,1,Married,9985,3,2,1,No
45,Male,Travel_Rarely,Research & Development,8,4,4,Married,3697,3,3,10,No
40,Male,Travel_Rarely,Sales,1,2,4,Married,7457,4,2,4,No
29,Male,Travel_Rarely,Research & Development,8,4,1,Married,2119,3,2,7,Yes
29,Male,Travel_Rarely,Research & Development,9,5,4,Single,3983,3,3,3,No
30,Female,Travel_Rarely,Sales,5,3,3,Divorced,6118,3,3,10,No
27,Female,Travel_Rarely,Sales,8,4,2,Married,6214,3,3,8,No
37,Male,Travel_Rarely,Research & Development,5,2,4,Divorced,6347,3,2,6,No
38,Male,Travel_Rarely,Research & Development,15,2,4,Divorced,11510,3,3,11,No
